date,open,high,low,volume,amount,close
2015-01-01,320.4349975585937,320.4349975585937,314.00299072265625,8036550,2525477744.050598,314.2489929199219
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,7860650,2476356392.512512,315.0320129394531
2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,33054400,9290996885.009766,281.0820007324219
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,55629100,14696930481.939695,264.19500732421875
2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,43962800,12066645524.267578,274.4739990234375
2015-01-06,274.6109924316406,287.5530090332031,272.6960144042969,23245700,6652663529.470825,286.1889953613281
2015-01-07,286.0769958496094,298.7539978027344,283.0790100097656,24866800,7319219451.23291,294.3370056152344
2015-01-08,294.135009765625,294.135009765625,282.17498779296875,19982500,5662021372.98584,283.3489990234375
2015-01-09,282.38299560546875,291.114013671875,280.5329895019531,18718600,5436030992.29126,290.4079895019531
2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,15264300,4194568430.007935,274.7959899902344
2015-01-11,274.6080017089844,279.63800048828125,265.0390014648437,18200800,4835224594.65332,265.6600036621094
2015-01-12,266.14599609375,272.2030029296875,265.20001220703125,18880300,5056068629.812622,267.7959899902344
2015-01-13,267.3940124511719,268.2770080566406,219.906005859375,72843904,16452596450.035156,225.86099243164065
2015-01-14,223.8939971923828,223.8939971923828,171.50999450683594,97638704,17389745788.623535,178.10299682617188
2015-01-15,176.89700317382812,229.06700134277344,176.89700317382812,81773504,17159678694.234377,209.843994140625
2015-01-16,209.07000732421875,221.59100341796875,199.77099609375,38421000,7995294841.690063,208.0970001220703
2015-01-17,207.83399963378903,211.7310028076172,194.875,23469700,4676572293.077087,199.25999450683597
2015-01-18,200.0500030517578,218.69500732421875,194.5059967041016,30085100,6328069984.78241,210.3390045166016
2015-01-19,211.4709930419922,216.72799682617188,207.3179931640625,18658300,4008940855.08728,214.86099243164065
2015-01-20,212.9069976806641,215.24099731445312,205.1529998779297,24051100,5082358255.218506,211.31500244140625
2015-01-21,211.3780059814453,227.7879943847656,211.2120056152344,29924600,6789802061.175537,226.89700317382807
2015-01-22,227.32200622558597,237.0189971923828,226.4340057373047,33544600,7829511104.150391,233.406005859375
2015-01-23,233.5169982910156,234.84500122070312,225.1959991455078,24621700,5733876820.199585,232.8789978027344
2015-01-24,232.6999969482422,248.2100067138672,230.02200317382807,24782500,6142268280.525208,247.8470001220703
2015-01-25,247.3520050048828,255.07400512695312,243.88999938964844,33582700,8520535556.489563,253.71800231933597
2015-01-26,254.07899475097656,309.3840026855469,254.07899475097656,106794000,29205274701.59912,273.4729919433594
2015-01-27,273.1669921875,275.4800109863281,250.6529998779297,44399000,11698026795.98999,263.4750061035156
2015-01-28,263.3510131835937,266.5350036621094,227.04600524902344,44352200,10374644565.22522,233.9149932861328
2015-01-29,233.34800720214844,238.70599365234372,220.7120056152344,32213400,7522247689.929199,233.51300048828125
2015-01-30,232.77200317382807,242.8509979248047,225.8390045166016,26605200,6024082491.192627,226.4250030517578
2015-01-31,226.4409942626953,233.5039978027344,216.3090057373047,23348200,5077393070.254517,217.4640045166016
2015-02-01,216.86700439453125,231.57400512695312,212.01499938964844,29128500,6611353905.555725,226.9720001220703
2015-02-02,226.49099731445312,242.1750030517578,222.65899658203125,30612100,7292690090.478516,238.22900390625
2015-02-03,237.45399475097656,245.95700073242188,224.4830017089844,40783700,9268830150.653076,227.26800537109372
2015-02-04,227.5110015869141,230.05799865722656,221.11300659179688,26594300,6032996653.494263,226.85299682617188
2015-02-05,227.6649932861328,239.40499877929688,214.7250061035156,22516400,4888557949.987793,217.11099243164065
2015-02-06,216.92300415039065,230.50999450683597,216.23199462890625,24435300,5431136547.889709,222.26600646972656
2015-02-07,222.63299560546875,230.2989959716797,222.60699462890625,21604200,4920442919.329834,227.7539978027344
2015-02-08,227.6929931640625,229.43800354003903,221.07699584960935,17145200,3830443466.3513184,223.41200256347656
2015-02-09,223.38900756835935,223.9770050048828,217.0189971923828,27791300,6117143059.962463,220.1100006103516
2015-02-10,220.2819976806641,221.8070068359375,215.33200073242188,21115100,4641922564.268494,219.8390045166016
2015-02-11,219.73199462890625,223.406005859375,218.07400512695312,17201900,3770398409.503174,219.18499755859372
2015-02-12,219.2079925537109,222.19900512695312,217.61399841308597,15206200,3372187851.8859863,221.76400756835935
2015-02-13,221.968994140625,240.25900268554688,221.26199340820312,42744400,10063185942.285156,235.427001953125
2015-02-14,235.5279998779297,259.8080139160156,235.5279998779297,49732500,12797217348.861694,257.3210144042969
2015-02-15,257.5069885253906,265.6109924316406,227.6840057373047,56552400,13279917157.415771,234.8249969482422
2015-02-16,234.8249969482422,239.52099609375,229.02200317382807,28153700,6583545734.397888,233.84300231933597
2015-02-17,233.4219970703125,245.7749938964844,232.31399536132807,27363100,6665924807.701111,243.6100006103516
2015-02-18,243.77999877929688,244.25100708007807,232.33999633789065,25200800,5955604362.316895,236.3260040283203
2015-02-19,236.41000366210935,242.6719970703125,235.5919952392578,18270500,4390090638.48114,240.2830047607422
2015-02-20,240.25100708007807,247.1009979248047,239.2989959716797,23876700,5820638215.434265,243.7790069580078
2015-02-21,243.7519989013672,255.32000732421875,243.1840057373047,12284200,3003904520.8129883,244.53399658203125
2015-02-22,244.54400634765625,246.3919982910156,233.8509979248047,19527000,4607922976.730347,235.9770050048828
2015-02-23,235.9949951171875,240.10899353027344,232.42100524902344,16400000,3917828771.972656,238.8919982910156
2015-02-24,238.9980010986328,239.9010009765625,236.4019927978516,14200400,3390132502.6672363,238.7350006103516
2015-02-25,238.88999938964844,239.33999633789065,235.52999877929688,11496200,2730002628.0334477,237.47000122070312
2015-02-26,237.3370056152344,237.7100067138672,234.2570037841797,13619400,3219980194.5739746,236.42599487304688
2015-02-27,236.43600463867188,256.65301513671875,236.43600463867188,44013900,11171960338.146973,253.8280029296875
2015-02-28,253.5200042724609,254.69200134277344,249.47900390625,13949300,3546790872.7111816,254.26300048828125
2015-03-01,254.2830047607422,261.6600036621094,245.93299865722656,25213700,6560655062.753296,260.2019958496094
2015-03-02,260.35699462890625,276.3009948730469,258.31298828125,40465700,11155180062.36267,275.6700134277344
2015-03-03,275.0459899902344,285.7959899902344,268.1610107421875,50461300,14215048923.165894,281.7019958496094
2015-03-04,281.989990234375,284.2250061035156,268.1260070800781,41383000,11301366670.440674,273.0920104980469
2015-03-05,272.739013671875,281.6669921875,264.7690124511719,41302400,11406814600.292969,276.1780090332031
2015-03-06,275.6000061035156,277.6080017089844,270.0150146484375,28918900,7886848931.710815,272.7229919433594
2015-03-07,272.29400634765625,277.85400390625,270.13299560546875,17825900,4924600716.186523,276.260986328125
2015-03-08,276.4330139160156,277.8580017089844,272.56500244140625,22067900,6054416722.802734,274.35400390625
2015-03-09,274.81201171875,292.70098876953125,273.8930053710937,59178200,17138420649.54834,289.60699462890625
2015-03-10,289.86199951171875,300.04400634765625,289.7430114746094,67770800,19772809269.82422,291.760009765625
2015-03-11,291.5249938964844,297.3909912109375,290.50799560546875,33963900,10066186643.47229,296.3789978027344
2015-03-12,296.12701416015625,297.0880126953125,292.4129943847656,32585200,9591584088.085938,294.35400390625
2015-03-13,294.1180114746094,294.4979858398437,285.3370056152344,31421500,8965716721.939087,285.3370056152344
2015-03-14,284.4419860839844,286.3420104980469,280.9760131835937,22612300,6374068406.323242,281.885009765625
2015-03-15,281.42498779296875,286.52899169921875,280.9960021972656,11970100,3428152913.5925293,286.3930053710937
2015-03-16,285.6849975585937,294.11199951171875,285.6849975585937,21516100,6252427768.893433,290.5929870605469
2015-03-17,290.5950012207031,292.364990234375,284.3739929199219,21497200,6137558190.966797,285.5050048828125
2015-03-18,285.0669860839844,285.33599853515625,249.8699951171875,57008000,14611094032.226562,256.29901123046875
2015-03-19,255.8800048828125,264.2439880371094,248.6360015869141,52732000,13759255772.338867,260.9280090332031
2015-03-20,260.9559936523437,264.8479919433594,259.1619873046875,18456700,4831022637.625122,261.7489929199219
2015-03-21,261.6440124511719,262.1960144042969,255.6499938964844,17130100,4454254147.946167,260.0249938964844
2015-03-22,259.9169921875,269.7470092773437,259.5899963378906,18438100,4940673118.447876,267.9599914550781
2015-03-23,267.8949890136719,277.2969970703125,261.7449951171875,22811900,6084845983.227539,266.739990234375
2015-03-24,266.5769958496094,267.00299072265625,244.15499877929688,40073700,9841900400.41809,245.59500122070312
2015-03-25,247.4720001220703,249.19000244140625,236.51499938964844,35866900,8830323402.592468,246.19700622558597
2015-03-26,246.2760009765625,254.35400390625,244.90499877929688,25730000,6394728300.323486,248.5319976806641
2015-03-27,248.5659942626953,256.8110046386719,245.21299743652344,17274900,4267401392.298889,247.0290069580078
2015-03-28,246.9750061035156,254.2050018310547,246.9750061035156,16040900,4055107504.776001,252.79800415039065
2015-03-29,252.7400054931641,253.13900756835935,240.8500061035156,21699400,5266726416.574097,242.71299743652344
2015-03-30,242.8789978027344,249.24200439453125,239.2140045166016,23009600,5695474272.0703125,247.5260009765625
2015-03-31,247.45399475097656,248.72999572753903,242.73899841308597,22672000,5537046505.859375,244.2239990234375
2015-04-01,244.22300720214844,247.5410003662109,241.16000366210935,22877200,5656891071.008301,247.27200317382807
2015-04-02,247.0890045166016,254.46099853515625,245.4160003662109,26272600,6647099291.28418,253.0050048828125
2015-04-03,253.07400512695312,256.0429992675781,251.8789978027344,23146600,5886689749.301147,254.32200622558597
2015-04-04,254.2910003662109,255.25799560546875,251.1000061035156,12493500,3169563547.279358,253.69700622558597
2015-04-05,253.7610015869141,260.67498779296875,251.94200134277344,19649200,5120542063.293457,260.5979919433594
2015-04-06,260.72100830078125,261.7980041503906,254.5749969482422,20034200,5118577914.440918,255.49200439453125
2015-04-07,255.2740020751953,255.80499267578125,252.2050018310547,18467400,4675576196.740723,253.17999267578125
2015-04-08,253.06399536132807,253.8470001220703,244.21499633789065,30086400,7371829996.2890625,245.02200317382807
2015-04-09,244.75100708007807,246.1179962158203,239.3999938964844,21643500,5274001395.03479,243.67599487304688
2015-04-10,243.69400024414065,243.69400024414065,232.77099609375,28882000,6818231683.807373,236.07200622558597
2015-04-11,236.01600646972656,239.53700256347656,234.1750030517578,16365200,3871220822.363281,236.552001953125
2015-04-12,236.53500366210935,237.72799682617188,233.4949951171875,12387900,2925439747.187805,236.1529998779297
2015-04-13,235.9499969482422,236.93499755859372,221.9960021972656,31181800,7003027091.693115,224.5870056152344
2015-04-14,224.75900268554688,224.9759979248047,216.322998046875,31719000,6951504212.585449,219.15899658203125
2015-04-15,219.072998046875,223.8329925537109,218.6490020751953,22562000,5050119977.996826,223.8329925537109
2015-04-16,223.91700744628903,229.6719970703125,223.91700744628903,24805400,5669844645.751953,228.572998046875
2015-04-17,228.5749969482422,228.906005859375,221.94200134277344,20429800,4553434760.910034,222.8820037841797
2015-04-18,222.85299682617188,224.3159942626953,220.87600708007807,12939000,2890003320.327759,223.3560028076172
2015-04-19,223.45599365234372,226.35299682617188,222.3730010986328,15021500,3343785991.68396,222.6000061035156
2015-04-20,222.61199951171875,226.3509979248047,221.9770050048828,18364700,4125189232.223511,224.62600708007807
2015-04-21,224.6199951171875,235.2689971923828,224.30099487304688,24978000,5876549011.871338,235.2689971923828
2015-04-22,235.6020050048828,237.90899658203125,233.4759979248047,23847900,5584605708.132935,234.17599487304688
2015-04-23,234.0529937744141,236.4750061035156,233.19900512695312,17036000,4028366727.661133,236.4620056152344
2015-04-24,235.97000122070312,236.30499267578125,229.93299865722656,21448700,4960398066.8029785,231.26800537109372
2015-04-25,231.2350006103516,232.56100463867188,226.3370056152344,13957200,3159770499.481201,226.38999938964844
2015-04-26,226.41000366210935,226.94400024414065,214.87399291992188,28943700,6351115879.01001,219.42999267578125
2015-04-27,219.4290008544922,233.30499267578125,218.0229949951172,38574000,8844477989.776611,229.28599548339844
2015-04-28,228.968994140625,229.4949951171875,223.06900024414065,21469200,4848926074.273682,225.85499572753903
2015-04-29,225.59100341796875,227.0399932861328,223.42999267578125,18936500,4276013166.572571,225.80799865722656
2015-04-30,225.6929931640625,239.56300354003903,224.9929962158203,33818600,7986093441.488647,236.1450042724609
2015-05-01,235.93899536132807,238.96600341796875,232.07899475097656,18815300,4366635909.938049,232.07899475097656
2015-05-02,232.34100341796875,235.7270050048828,232.34100341796875,12535500,2944964923.187256,234.92999267578125
2015-05-03,234.8800048828125,243.2400054931641,234.0829925537109,18494100,4445204919.406128,240.3580017089844
2015-05-04,240.3560028076172,242.63800048828125,237.80999755859372,21223400,5072774735.192871,239.01800537109372
2015-05-05,238.8520050048828,239.20399475097656,232.0540008544922,23929100,5650163073.678589,236.1210021972656
2015-05-06,236.24899291992188,236.45399475097656,229.2310028076172,29587200,6798605921.777344,229.7819976806641
2015-05-07,229.66200256347656,239.10499572753903,228.572998046875,29064400,6897970298.956299,237.33399963378903
2015-05-08,237.20399475097656,246.2749938964844,236.2740020751953,27445500,6692942147.415161,243.86300659179688
2015-05-09,243.7689971923828,247.8040008544922,239.63900756835935,19790500,4785976210.494995,241.83200073242188
2015-05-10,241.72900390625,244.0679931640625,238.8489990234375,15019100,3609029732.435608,240.29600524902344
2015-05-11,240.2989959716797,244.2700042724609,239.37600708007807,20892300,5059237682.862854,242.1580047607422
2015-05-12,242.1450042724609,242.8809967041016,240.0989990234375,19282600,4649266241.784668,241.11199951171875
2015-05-13,241.3979949951172,243.70399475097656,235.0449981689453,27180100,6424750467.83905,236.3769989013672
2015-05-14,236.2140045166016,237.7989959716797,234.0570068359375,24413700,5784313548.161316,236.9290008544922
2015-05-15,236.9550018310547,238.7530059814453,236.7949981689453,16329400,3879947017.233277,237.60499572753903
2015-05-16,237.6439971923828,237.69700622558597,235.2949981689453,11089700,2618865922.746277,236.1529998779297
2015-05-17,236.00999450683597,238.0249938964844,236.00999450683597,11134300,2636624530.34668,236.802001953125
2015-05-18,236.88699340820312,237.2100067138672,232.4600067138672,16780300,3911957878.770447,233.1280059814453
2015-05-19,233.03700256347656,234.1510009765625,231.81700134277344,14241900,3303366067.9641724,231.94700622558597
2015-05-20,231.88999938964844,234.68299865722656,231.8419952392578,15499400,3627138672.4487305,234.01800537109372
2015-05-21,234.01600646972656,236.24200439453125,233.8350067138672,15108900,3555788873.071289,235.343994140625
2015-05-22,235.3209991455078,240.968994140625,235.05999755859372,27003000,6490117238.479614,240.34800720214844
2015-05-23,240.28599548339844,241.0249938964844,238.6909942626953,14605000,3488725472.640991,238.8719940185547
2015-05-24,238.9759979248047,241.97799682617188,238.81100463867188,11508000,2772887157.714844,240.9530029296875
2015-05-25,240.927001953125,241.02099609375,236.63699340820312,14423900,3420050937.80365,237.1100006103516
2015-05-26,237.10400390625,238.24200439453125,235.69200134277344,16425000,3894630255.8898926,237.11599731445312
2015-05-27,237.06500244140625,238.6360015869141,236.69500732421875,18837000,4469699960.678101,237.2830047607422
2015-05-28,237.2570037841797,237.82400512695312,236.6519927978516,13829600,3283257742.63916,237.4080047607422
2015-05-29,237.3769989013672,237.52200317382807,235.7310028076172,14805000,3510206176.9866943,237.0959930419922
2015-05-30,237.0919952392578,237.09300231933597,232.04600524902344,14098600,3289837834.210205,233.34500122070312
2015-05-31,233.13499450683597,233.2519989013672,229.54200744628903,14730800,3390882887.963867,230.19000244140625
2015-06-01,230.2330017089844,231.71299743652344,221.29600524902344,26090500,5816250669.2352295,222.92599487304688
