model,mae,rmse,dir_acc,n_points,n_windows,coverage_80
kronos,1145.4441305106025,1396.6051966642435,0.48872180451127817,560,28,0.2714285714285714
lag-llama,1815.2734021205356,2231.245986494647,0.4981203007518797,560,28,0.6446428571428572
timesfm,512.1393459821429,668.214302903387,0.5169172932330827,560,28,0.6892857142857143
