model,mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80
kronos,8083.966946149552,9366.287559292745,0.46616541353383456,560,28,38.46292203774127,0.08214285714285714
lag-llama,6552.22542734375,7882.582528467934,0.5169172932330827,560,28,31.17500819392469,0.5946428571428571
timesfm,2184.335268861607,2866.7701933896838,0.4793233082706767,560,28,10.392907060379551,0.6482142857142857
itransformer,3710.8499552455355,4321.007855219375,0.5319548872180451,560,28,17.655952018748422,
