model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama,2,2025-08-26,19,42394.3984375,38172.25,35255.5828125,41139.326171875
lag-llama,2,2025-08-27,20,42520.26953125,38453.414,35286.06328125,41941.990234375
lag-llama,3,2025-08-14,1,42649.26171875,39315.93,35081.019921875,43096.223828125
lag-llama,3,2025-08-15,2,43378.30859375,38660.613,34351.43046875,43341.001171875
lag-llama,3,2025-08-18,3,43714.30859375,38768.88,35024.323828125,43833.55859375
lag-llama,3,2025-08-19,4,43546.2890625,38871.074,34427.789453125,43175.059375000004
lag-llama,3,2025-08-20,5,42888.55078125,38605.754,35184.175390625,42304.6390625
lag-llama,3,2025-08-21,6,42610.171875,38427.21,34122.586328125,42422.811328125
lag-llama,3,2025-08-22,7,42633.2890625,38516.52,34952.80859375,41646.840625000004
lag-llama,3,2025-08-25,8,42807.8203125,37838.55,33597.39140625,42508.307031250006
lag-llama,3,2025-08-26,9,42394.3984375,38167.426,33981.3375,42192.293750000004
lag-llama,3,2025-08-27,10,42520.26953125,38419.664,34828.06171875,42532.29765625
lag-llama,3,2025-08-28,11,42828.7890625,38438.926,33912.75703125,42666.187890625
lag-llama,3,2025-08-29,12,42718.46875,38445.04,34880.809765625,42606.116015625004
lag-llama,3,2025-09-01,13,42188.7890625,38236.734,34195.056640625,42011.74296875
lag-llama,3,2025-09-02,14,42310.48828125,38945.64,35204.9046875,43706.54453125001
lag-llama,3,2025-09-03,15,41938.890625,38750.47,34951.579296875,42583.61328125
lag-llama,3,2025-09-04,16,42580.26953125,38605.375,34014.444921875,42923.26484375
lag-llama,3,2025-09-05,17,43018.75,38408.46,33936.0234375,42629.330859375004
lag-llama,3,2025-09-08,18,43643.80859375,38196.695,34297.937109375,41997.504296875
lag-llama,3,2025-09-09,19,43459.2890625,38614.414,35493.557421875,42605.340625000004
lag-llama,3,2025-09-10,20,43837.671875,38804.617,35098.0515625,41762.802734375
lag-llama,4,2025-08-28,1,42828.7890625,38888.625,34966.30078125,42968.81796875
lag-llama,4,2025-08-29,2,42718.46875,38616.926,34639.37734375,42539.81171875
lag-llama,4,2025-09-01,3,42188.7890625,38364.06,34696.257421875,42600.584765625004
lag-llama,4,2025-09-02,4,42310.48828125,38623.656,34046.4359375,42737.3375
lag-llama,4,2025-09-03,5,41938.890625,39139.223,35084.6484375,43341.786328125
lag-llama,4,2025-09-04,6,42580.26953125,38772.24,34529.64296875,43784.5546875
lag-llama,4,2025-09-05,7,43018.75,37997.7,33752.2796875,41876.259375
lag-llama,4,2025-09-08,8,43643.80859375,38782.426,34492.775,42735.5
lag-llama,4,2025-09-09,9,43459.2890625,38960.01,34743.687890625,43103.594921875
lag-llama,4,2025-09-10,10,43837.671875,38372.414,33619.127734375,42805.221484375
lag-llama,4,2025-09-11,11,44372.5,38785.78,35040.376953125,43259.1203125
lag-llama,4,2025-09-12,12,44768.12109375,37908.64,34819.362890625,41232.149218750004
lag-llama,4,2025-09-16,13,44902.26953125,38337.95,34710.71171875,42160.901171875004
lag-llama,4,2025-09-17,14,44790.37890625,38642.43,34990.468359375,42686.303515625004
lag-llama,4,2025-09-18,15,45303.4296875,38807.023,35652.03828125,42576.346093750006
lag-llama,4,2025-09-19,16,45045.80859375,38205.344,33952.776171875,42019.104296875004
lag-llama,4,2025-09-22,17,45493.66015625,38692.2,34869.153125,42309.94765625
lag-llama,4,2025-09-24,18,45630.30859375,38245.805,34822.359765625,42123.508203125006
lag-llama,4,2025-09-25,19,45754.9296875,38348.176,34824.465625,41817.423046875
lag-llama,4,2025-09-26,20,45354.98828125,38057.203,33889.700390625,42184.281640625
lag-llama,5,2025-09-11,1,44372.5,38294.46,33811.378515625,42854.89648437501
lag-llama,5,2025-09-12,2,44768.12109375,38820.195,35415.305078125,42933.503125
lag-llama,5,2025-09-16,3,44902.26953125,38338.6,34653.890234375,41953.884765625
lag-llama,5,2025-09-17,4,44790.37890625,38566.523,35255.780859375,42859.96796875
lag-llama,5,2025-09-18,5,45303.4296875,38673.625,34603.655078125,43700.96015625
lag-llama,5,2025-09-19,6,45045.80859375,38769.88,34699.24765625,43274.373828125004
lag-llama,5,2025-09-22,7,45493.66015625,39247.47,35423.58984375,43459.480859375
lag-llama,5,2025-09-24,8,45630.30859375,38808.914,35159.94765625,43469.44296875
lag-llama,5,2025-09-25,9,45754.9296875,38786.184,34515.52734375,43176.413671875
lag-llama,5,2025-09-26,10,45354.98828125,38591.336,35207.928125,42225.20234375
