model,mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80
kronos,7349.773652343749,9538.046792237734,0.5037593984962406,840,42,17.388655887087296,0.27976190476190477
lag-llama,17269.233861160712,22564.70451449087,0.5,840,42,40.85687250376768,0.7880952380952381
timesfm,4613.3945979166665,6688.434312156302,0.4849624060150376,840,42,10.91472131375624,0.8178571428571428
itransformer,8947.837118080357,10703.665392497416,0.5037593984962406,840,42,21.169476495427894,
