timestamps,open,high,low,close,volume,amount
2015-01-02,112.48999786376953,114.80000305175781,112.31999969482422,114.08000183105469,7109600,811063181.0180664
2015-01-05,114.77999877929688,116.0,114.7300033569336,115.80000305175781,8177400,946942944.9554443
2015-01-06,116.22000122070312,117.5,115.80000305175781,117.12000274658203,11238300,1316229726.8669128
2015-01-07,116.47000122070312,116.87999725341797,116.16999816894531,116.43000030517578,6434200,749133907.963562
2015-01-08,116.44999694824219,116.87000274658203,115.8499984741211,115.94000244140625,7033700,815487195.1721191
2015-01-09,116.51000213623047,117.33999633789062,116.5,117.26000213623047,7962900,933729671.0105896
2015-01-12,117.45999908447266,118.70999908447266,117.31999969482422,118.55999755859375,8318200,986205771.6918945
2015-01-13,118.95999908447266,119.19000244140625,117.87000274658203,118.16000366210938,7693200,909028540.1733398
2015-01-14,119.08000183105469,119.31999969482422,117.9000015258789,117.97000122070312,7727400,911601387.4328613
2015-01-15,120.41000366210938,121.69999694824219,120.33999633789062,120.94000244140625,17692500,2139730993.19458
2015-01-16,121.7300033569336,123.1500015258789,121.70999908447266,122.5199966430664,14428200,1767743015.5654907
2015-01-20,123.62999725341797,124.5999984741211,123.48999786376953,124.19999694824219,14968600,1859100074.319458
2015-01-21,125.18000030517578,125.33999633789062,123.37000274658203,124.2300033569336,11082700,1376803858.203888
2015-01-22,125.06999969482422,125.58000183105469,124.1500015258789,125.2300033569336,10518400,1317219267.3095703
2015-01-23,124.43000030517578,124.5,123.3499984741211,124.2300033569336,6270900,779033928.0509949
2015-01-26,123.33000183105469,123.33999633789062,122.5199966430664,122.98999786376953,6768600,832470099.5407104
2015-01-27,123.55999755859375,124.63999938964844,123.51000213623047,124.4000015258789,9584800,1192349134.6252441
2015-01-28,123.5199966430664,123.88999938964844,122.94000244140625,123.41999816894531,8470600,1045441436.4898682
2015-01-29,121.98999786376953,122.29000091552734,120.26000213623047,120.76000213623047,11998000,1448878505.6304932
2015-01-30,121.30000305175781,123.55000305175781,120.91999816894531,123.44999694824219,14555900,1796925810.5789185
2015-02-02,121.83999633789062,123.16000366210938,121.81999969482422,122.41999816894531,8885200,1087726167.730713
2015-02-03,121.73999786376953,121.76000213623047,120.55999755859375,121.05000305175781,8255900,999376720.1950073
2015-02-04,121.62999725341797,122.22000122070312,120.91999816894531,121.58000183105469,5386700,654914995.8633423
2015-02-05,120.9800033569336,121.83000183105469,120.61000061035156,121.79000091552734,6879900,837903027.2987366
2015-02-06,119.1500015258789,119.5199966430664,117.94999694824219,118.63999938964844,13206900,1566866607.939148
2015-02-09,118.83000183105469,119.4000015258789,118.7699966430664,119.16999816894531,5237200,624117114.4104004
2015-02-10,118.62999725341797,119.05999755859375,118.20999908447266,118.47000122070312,4086300,484103965.9881592
2015-02-11,118.48999786376953,118.56999969482422,117.0,117.06999969482422,6784400,794249705.9295654
2015-02-12,117.68000030517578,117.81999969482422,117.08999633789062,117.33999633789062,4344400,509771880.09033203
2015-02-13,118.05000305175781,118.58000183105469,117.79000091552734,117.9800033569336,4108900,484768035.79330444
2015-02-17,116.4000015258789,116.54000091552734,115.58000183105469,116.01000213623047,7225200,838195467.4346924
2015-02-18,115.98999786376953,116.52999877929688,114.98999786376953,116.33999633789062,8336000,969810209.4726562
2015-02-19,116.4000015258789,116.54000091552734,115.73999786376953,115.94000244140625,6528700,756937493.939209
2015-02-20,116.0999984741211,116.45999908447266,115.05000305175781,115.27999877929688,6681700,770266367.8436279
2015-02-23,115.11000061035156,116.22000122070312,115.06999969482422,115.43000030517578,4812400,555495333.4686279
2015-02-24,115.0,115.55000305175781,114.29000091552734,115.26000213623047,7612900,877462870.2629089
2015-02-25,115.83000183105469,115.88999938964844,115.33000183105469,115.69999694824219,5032500,582260234.6420288
2015-02-26,116.54000091552734,116.55000305175781,115.83000183105469,116.06999969482422,4025400,467228176.7715454
2015-02-27,116.73999786376953,117.06999969482422,116.16000366210938,116.16000366210938,8255600,958970526.2329102
2015-03-02,116.5,116.63999938964844,115.62000274658203,115.68000030517578,7993300,924664946.4393616
2015-03-03,116.04000091552734,116.61000061035156,115.3499984741211,115.47000122070312,4738300,547131506.7840576
