model,mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80
kronos,209.02845633370535,260.05982321737025,0.5244360902255639,560,28,7.5064828959150685,0.2982142857142857
lag-llama,329.18415676618304,394.20415713515126,0.46616541353383456,560,28,11.821429893864321,0.4982142857142857
timesfm,82.5717723423549,107.2500503728686,0.5451127819548872,560,28,2.965259408430769,0.7053571428571429
itransformer,123.25800883789063,148.23625531831377,0.5018796992481203,560,28,4.426354915280415,
