model,mae,rmse,dir_acc,n_points,n_windows,coverage_80
kronos,48.52496791181894,61.34147621628366,0.44101633393829404,580,29,0.22758620689655173
lag-llama,57.222885735486265,74.37953829099074,0.5444646098003629,580,29,0.95
timesfm,15.532959616244613,22.302085794974072,0.47005444646098005,580,29,0.7879310344827586
