model,mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80
kronos,18.10253795492238,23.056490152819148,0.5136116152450091,580,29,51.48165919978943,0.28620689655172415
lag-llama,24.885549725030305,34.631125050170084,0.4900181488203267,580,29,70.77181073359154,0.9793103448275862
timesfm,9.290160634058456,11.872313124342003,0.5226860254083484,580,29,26.420211622528146,0.8137931034482758
itransformer,14.643047461644667,19.04862920326648,0.5263157894736842,580,29,41.643242563220184,
