model,mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80
kronos,41.27687346594676,52.64636090605023,0.45300751879699247,560,28,28.342292904223093,0.10178571428571428
lag-llama,50.02804531790597,64.97839267052409,0.4981203007518797,560,28,34.351184931572085,0.5910714285714286
timesfm,10.96344456741769,31.56800067045713,0.4849624060150376,560,28,7.527923776138613,0.7625
itransformer,24.238820777134496,37.964543670661314,0.5281954887218046,560,28,16.64330896295411,
