date,open,high,low,volume,amount,close
2015-01-02,0.503250002861023,0.5070000290870667,0.4952499866485595,113680000,57209460.32524109,0.503250002861023
2015-01-05,0.503250002861023,0.5047500133514404,0.4925000071525574,197952000,97936750.6313324,0.4947499930858612
2015-01-06,0.4954999983310699,0.4959999918937683,0.4792500138282776,197764000,94877280.46166895,0.4797500073909759
2015-01-07,0.4832499921321869,0.4875000119209289,0.4769999980926513,321808000,153985130.76210022,0.4785000085830688
2015-01-08,0.4839999973773956,0.4995000064373016,0.4837499856948852,283780000,140896765.8728361,0.4964999854564667
2015-01-09,0.4982500076293945,0.5022500157356262,0.4914999902248382,209540000,104455687.80183792,0.4984999895095825
2015-01-12,0.4997499883174896,0.5,0.4877499938011169,190732000,93887826.135993,0.492249995470047
2015-01-13,0.4959999918937683,0.5059999823570251,0.4880000054836273,236720000,116347877.68602373,0.4914999902248382
2015-01-14,0.4862500131130218,0.4950000047683716,0.4850000143051147,155260000,76620809.11159515,0.4934999942779541
2015-01-15,0.4970000088214874,0.5,0.4897499978542328,188932000,92576681.80179596,0.4900000095367431
2015-01-16,0.4892500042915344,0.4995000064373016,0.4877499938011169,181512000,90574490.336895,0.4990000128746032
2015-01-20,0.5024999976158142,0.5052499771118164,0.4942499995231628,140308000,70224157.27829933,0.5005000233650208
2015-01-21,0.4977500140666961,0.5087500214576721,0.4942499995231628,144780000,73475848.96445274,0.5074999928474426
2015-01-22,0.5084999799728394,0.5177500247955322,0.503250002861023,159712000,82451322.28469849,0.5162500143051147
2015-01-23,0.5167499780654907,0.518750011920929,0.512499988079071,120416000,62345386.98577881,0.5177500247955322
2015-01-26,0.515500009059906,0.5180000066757202,0.5122500061988831,133240000,68685221.20714188,0.515500009059906
2015-01-27,0.5074999928474426,0.5080000162124634,0.4897499978542328,357948000,175662986.29117012,0.4907500147819519
2015-01-28,0.496749997138977,0.4987500011920929,0.4824999868869781,272728000,131659441.60985948,0.4827499985694885
