model,mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80
kronos,271.464508005778,323.4833375901976,0.47149122807017546,480,24,8.15796588091311,0.17291666666666666
lag-llama,480.6027608178711,562.5930929016527,0.5043859649122807,480,24,14.442922774057028,0.375
timesfm,100.1138921492513,131.55491244928118,0.4956140350877193,480,24,3.0085911501242126,0.75
itransformer,329.9591980444336,369.5246635008475,0.5021929824561403,480,24,9.915829879619652,
