mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80,dataset,model,relative_mae_pct
416.2827953259699,467.6528730812408,0.4791288566243194,580.0,29.0,17.412926227048192,0.1137931034482758,SP500,kronos,5.991688668611753
704.746219296875,742.2109302066591,0.4773139745916515,580.0,29.0,29.47922437149552,0.0568965517241379,SP500,lag-llama,10.143633087458106
115.38409185344824,160.9054288351605,0.5063520871143375,580.0,29.0,4.826465810689496,0.7396551724137931,SP500,timesfm,1.6607593766996926
183.9143444962284,238.40278583831167,0.5009074410163339,580.0,29.0,7.693056135795973,,SP500,itransformer,2.6471367692491907
209.02845633370532,260.05982321737025,0.5244360902255639,560.0,28.0,7.5064828959150685,0.2982142857142857,SSE,kronos,5.3035599144923165
329.18415676618304,394.20415713515126,0.4661654135338345,560.0,28.0,11.82142989386432,0.4982142857142857,SSE,lag-llama,8.352202034750276
82.5717723423549,107.2500503728686,0.5451127819548872,560.0,28.0,2.965259408430769,0.7053571428571429,SSE,timesfm,2.095046528805488
123.25800883789064,148.23625531831377,0.5018796992481203,560.0,28.0,4.426354915280415,,SSE,itransformer,3.127355223679026
1145.4441305106025,1396.6051966642435,0.4887218045112781,560.0,28.0,9.081630005938337,0.2714285714285714,SZSE,kronos,8.350801779984938
1815.273402120536,2231.245986494647,0.4981203007518797,560.0,28.0,14.392357478256796,0.6446428571428572,SZSE,lag-llama,13.234157785443534
512.1393459821429,668.214302903387,0.5169172932330827,560.0,28.0,4.060486171088737,0.6892857142857143,SZSE,timesfm,3.7337256773244385
781.2563155133928,968.1984119689156,0.5,560.0,28.0,6.194174476351366,,SZSE,itransformer,5.695709163314209
8083.966946149552,9366.287559292745,0.4661654135338345,560.0,28.0,38.46292203774127,0.0821428571428571,Nikkei225,kronos,14.822378485348544
6552.22542734375,7882.582528467934,0.5169172932330827,560.0,28.0,31.17500819392469,0.5946428571428571,Nikkei225,lag-llama,12.013849865092826
2184.335268861607,2866.770193389684,0.4793233082706767,560.0,28.0,10.392907060379551,0.6482142857142857,Nikkei225,timesfm,4.00509357715567
3710.849955245536,4321.007855219375,0.5319548872180451,560.0,28.0,17.655952018748422,,Nikkei225,itransformer,6.8040385253166615
271.464508005778,323.4833375901976,0.4714912280701754,480.0,24.0,8.15796588091311,0.1729166666666666,CSI300,kronos,5.909625024992777
480.6027608178711,562.5930929016527,0.5043859649122807,480.0,24.0,14.442922774057028,0.375,CSI300,lag-llama,10.462443592624114
100.1138921492513,131.55491244928118,0.4956140350877193,480.0,24.0,3.0085911501242126,0.75,CSI300,timesfm,2.1794214158635086
329.9591980444336,369.5246635008475,0.5021929824561403,480.0,24.0,9.915829879619652,,CSI300,itransformer,7.183020529329856
41.27687346594676,52.64636090605023,0.4530075187969924,560.0,28.0,28.342292904223093,0.1017857142857142,TOPIX,kronos,11.128739272696224
50.02804531790597,64.97839267052409,0.4981203007518797,560.0,28.0,34.351184931572085,0.5910714285714286,TOPIX,lag-llama,13.48815997715821
10.96344456741769,31.56800067045713,0.4849624060150376,560.0,28.0,7.527923776138613,0.7625,TOPIX,timesfm,2.955875914926224
24.238820777134496,37.964543670661314,0.5281954887218046,560.0,28.0,16.64330896295411,,TOPIX,itransformer,6.535076280156792
3.9362252011792416,5.27589917380676,0.4954627949183303,580.0,29.0,10.244081616219455,0.2879310344827586,KO,kronos,5.2332489610994415
6.81737434966157,8.22328924497371,0.5045372050816697,580.0,29.0,17.742312920849063,0.3,KO,lag-llama,9.063764243495019
1.845155856670932,2.554011363332761,0.5081669691470054,580.0,29.0,4.802044147453654,0.8327586206896552,KO,timesfm,2.4531523163605695
3.060030543441878,3.787884261620588,0.5136116152450091,580.0,29.0,7.963772658574454,,KO,itransformer,4.0683398037292715
7349.773652343749,9538.046792237734,0.5037593984962406,840.0,42.0,17.388655887087296,0.2797619047619047,BTC,kronos,8.4463171737797
17269.233861160712,22564.70451449087,0.5,840.0,42.0,40.85687250376768,0.7880952380952381,BTC,lag-llama,19.845703206523414
4613.3945979166665,6688.434312156302,0.4849624060150376,840.0,42.0,10.91472131375624,0.8178571428571428,BTC,timesfm,5.301686264770917
8947.837118080357,10703.665392497416,0.5037593984962406,840.0,42.0,21.16947649542789,,BTC,itransformer,10.282802422701177
18.10253795492238,23.056490152819148,0.5136116152450091,580.0,29.0,51.48165919978943,0.2862068965517241,NVDA,kronos,9.462892557764775
24.885549725030305,34.631125050170084,0.4900181488203267,580.0,29.0,70.77181073359154,0.9793103448275862,NVDA,lag-llama,13.008633589128374
9.290160634058456,11.872313124342003,0.5226860254083484,580.0,29.0,26.420211622528143,0.8137931034482758,NVDA,timesfm,4.856324132195308
14.643047461644668,19.04862920326648,0.5263157894736842,580.0,29.0,41.64324256322018,,NVDA,itransformer,7.654483873633612
48.52496791181894,61.34147621628366,0.441016333938294,580.0,29.0,50.23707190796071,0.2275862068965517,GLD,kronos,12.409355426589299
57.222885735486265,74.37953829099074,0.5444646098003629,580.0,29.0,59.241877927640346,0.95,GLD,lag-llama,14.633685671202704
15.532959616244613,22.302085794974072,0.47005444646098,580.0,29.0,16.081008247192884,0.7879310344827586,GLD,timesfm,3.9722646917586024
21.858322727404367,28.292355953861836,0.5226860254083484,580.0,29.0,22.62954882607079,,GLD,itransformer,5.589858322964277
