model,mae,rmse,dir_acc,n_points,n_windows,coverage_80
kronos,3.9362252011792416,5.27589917380676,0.4954627949183303,580,29,0.28793103448275864
lag-llama,6.81737434966157,8.22328924497371,0.5045372050816697,580,29,0.3
timesfm,1.845155856670932,2.554011363332761,0.5081669691470054,580,29,0.8327586206896552
