model,mae,rmse,dir_acc,n_points,n_windows,mase,coverage_80
kronos,416.2827953259699,467.6528730812408,0.4791288566243194,580,29,17.412926227048192,0.11379310344827587
lag-llama,704.746219296875,742.2109302066591,0.47731397459165154,580,29,29.479224371495516,0.056896551724137934
timesfm,115.38409185344825,160.9054288351605,0.5063520871143375,580,29,4.826465810689496,0.7396551724137931
itransformer,183.9143444962284,238.40278583831167,0.5009074410163339,580,29,7.693056135795973,
