realized_vol,hurst,efficiency_ratio,dataset,window_id,target_start_date,regime
0.1691704740461331,0.3630947976101943,0.1079636642773885,SP500,0,2025-07-01,stable
0.16929320470624656,0.36155616207278074,0.10786364593284292,SP500,1,2025-07-16,stable
0.16840478554338462,0.373620067351699,0.10659005196004541,SP500,2,2025-07-30,stable
0.16917109013256942,0.3879362813361646,0.10870518385613549,SP500,3,2025-08-13,stable
0.1692523849693416,0.40633872163443485,0.10307042989739672,SP500,4,2025-08-27,stable
0.16852145892655662,0.4199932027570844,0.101636200806414,SP500,5,2025-09-11,stable
0.16797447990650796,0.42792122776868957,0.10688477207980125,SP500,6,2025-09-25,stable
0.16700370787518004,0.4325178242481117,0.10684402084860464,SP500,7,2025-10-09,stable
0.16850203185338017,0.4341572671279243,0.09427678970436623,SP500,8,2025-10-23,stable
0.16879537976656003,0.4389873966950394,0.10428116734823384,SP500,9,2025-11-06,stable
0.1690466999758738,0.4398792839236591,0.102345756139529,SP500,10,2025-11-20,stable
0.1689966964474285,0.4371926821375286,0.11171948639279232,SP500,11,2025-12-05,stable
0.1690180484435965,0.4367053390886991,0.09162424446065988,SP500,12,2025-12-19,stable
0.1689411692728335,0.43656144239151634,0.10028578085753548,SP500,13,2026-01-06,stable
0.1696661082395901,0.43731549440588335,0.08342147720577381,SP500,14,2026-01-21,stable
0.17001679488564592,0.4380246756998203,0.0873498795938536,SP500,15,2026-02-04,stable
0.1710575616515652,0.4420046691739552,0.07273534578466058,SP500,16,2026-02-19,stable
0.1697460933709873,0.4489666835626075,0.08607501198416229,SP500,17,2026-03-05,stable
0.1663537760552123,0.4549539234815229,0.07247792419641512,SP500,18,2026-03-19,stable
0.16884890946759676,0.45396780598088776,0.056500188782663434,SP500,19,2026-04-02,stable
0.16834177885267113,0.4478014473222575,0.08846217823580099,SP500,20,2026-04-17,stable
0.1685581486775917,0.43544524191050016,0.08748883641431346,SP500,21,2026-05-01,stable
0.16857230303554946,0.4291753467741872,0.09993425156555787,SP500,22,2026-05-15,stable
0.16877879089042222,0.42911740485211347,0.10350774992534287,SP500,23,2026-06-01,stable
0.16931005671085683,0.4321957162475418,0.08613683775585274,SP500,24,2026-06-15,stable
0.17043083143148194,0.4223162247265944,0.0857705734484353,SP500,25,2026-06-30,stable
0.17070523084727474,0.4005142014710579,0.0820433611783724,SP500,26,2026-07-15,stable
0.18019356988847557,0.3677657813991533,0.046571476008633574,SSE,0,2025-07-01,stable
0.18000875816858886,0.36415289727370487,0.05249407350832882,SSE,1,2025-07-15,stable
0.1799350819405573,0.3643946765115585,0.06379469714206884,SSE,2,2025-07-29,stable
0.1794965147179857,0.3688746842368333,0.0793585752546373,SSE,3,2025-08-12,stable
0.1798798949728455,0.37578432989460503,0.10106026856023924,SSE,4,2025-08-26,stable
0.18090644385527485,0.388681391559911,0.10241837010281962,SSE,5,2025-09-09,stable
0.1772172965785606,0.4017096019300113,0.1048382436606587,SSE,6,2025-09-23,stable
0.17354860387288548,0.4211442293842898,0.10646191582228325,SSE,7,2025-10-15,stable
0.1729204542771051,0.42609224377033983,0.106198439249294,SSE,8,2025-10-29,stable
0.17298669284674092,0.4256070014211593,0.10541380851656952,SSE,9,2025-11-12,stable
0.17367461657679872,0.41614882720505825,0.08841561203647046,SSE,10,2025-11-26,stable
0.17216165350677023,0.4009067973189237,0.09362815433189879,SSE,11,2025-12-10,stable
0.1720507263522053,0.3751877847026578,0.08639098834998131,SSE,12,2025-12-24,stable
0.17221472808580277,0.3387704887117333,0.10319856323723002,SSE,13,2026-01-09,stable
0.17177728799624822,0.31426428015186253,0.11505891616374318,SSE,14,2026-01-23,stable
0.17317608763540587,0.3037726414578174,0.11588875166393467,SSE,15,2026-02-06,stable
0.17312745029813503,0.29927952158452903,0.12890454696125203,SSE,16,2026-03-02,stable
0.17323469030513033,0.29735909964262164,0.12238051322563186,SSE,17,2026-03-16,stable
0.17627794137986233,0.29094702331170136,0.10201862868501128,SSE,18,2026-03-30,stable
0.17763296739763018,0.28359384313671143,0.11655148899096804,SSE,19,2026-04-14,stable
0.1775475573770201,0.27381872315549793,0.12732225865397342,SSE,20,2026-04-28,stable
0.1775196131327944,0.26810501171573725,0.1472407632051004,SSE,21,2026-05-15,stable
0.17251046290797134,0.3483855654800836,0.10313260787555562,SSE,22,2026-05-29,stable
0.14276818005331385,0.3664566828149685,0.08032023420214959,SSE,23,2026-06-12,stable
0.14511623876403507,0.37116497909103163,0.0817968901873177,SSE,24,2026-06-29,stable
0.14313039830710553,0.37418872285650406,0.07248358364609797,SSE,25,2026-07-13,stable
0.14582311505494433,0.37767488435485924,0.051692553208858544,SSE,26,2026-07-27,stable
0.25870486270521226,0.3976061362074423,0.014880937875210819,SZSE,0,2025-07-01,unstable
0.2584246596227516,0.39286478741694847,0.017150391452228457,SZSE,1,2025-07-15,medium
0.2584458301718805,0.3901048064619402,0.036323452551821005,SZSE,2,2025-07-29,medium
0.25824420517518754,0.39270305153727336,0.04615796278811835,SZSE,3,2025-08-12,medium
0.25880590441260976,0.3988698745161916,0.06976343850707509,SZSE,4,2025-08-26,unstable
0.2618167808132065,0.4131318735708243,0.08624381198294921,SZSE,5,2025-09-09,unstable
0.2595543092273323,0.43177347098063024,0.10698721132186507,SZSE,6,2025-09-23,unstable
