realized_vol,rolling_vol_20d,hurst,efficiency_ratio,max_drawdown,downside_vol,adf_stat,adf_pvalue,kpss_stat,kpss_pvalue,skewness,kurtosis,max_abs_return,volume_ratio,dataset,window_id,target_start_date,regime
0.1691704740461331,0.0991573087265342,0.3630947976101943,0.1079636642773885,0.18902206184284007,0.13667679015469011,-11.715615290343298,1.4537072562214918e-21,0.09561093686331186,0.1,0.486611996380606,16.300217264203507,0.09089487983303712,1.2420287068174392,SP500,0,2025-07-01,medium
0.16929320470624656,0.09115736814029737,0.36155616207278074,0.10786364593284292,0.18902206184284007,0.13656483432632557,-11.762918478717927,1.1367011405014149e-21,0.09795362075004119,0.1,0.4849030270258757,16.245386210625384,0.09089487983303712,1.2599734797629758,SP500,1,2025-07-16,medium
0.16840478554338462,0.06516048705401215,0.373620067351699,0.10659005196004541,0.18902206184284007,0.13635837522590816,-11.767253928486898,1.1114157633248793e-21,0.06878735436595056,0.1,0.5048397931930565,16.64331149328436,0.09089487983303712,1.1846705850664265,SP500,2,2025-07-30,medium
0.16917109013256942,0.10531618116731033,0.3879362813361646,0.10870518385613549,0.18902206184284007,0.1364251916760664,-11.693212530576993,1.6338836062743005e-21,0.07166711238983127,0.1,0.48819680739732985,16.304935019370436,0.09089487983303712,1.1932769733355164,SP500,3,2025-08-13,medium
0.1692523849693416,0.1200749632899907,0.40633872163443485,0.10307042989739672,0.18902206184284007,0.13575092173552952,-11.726540579492333,1.3732984343915803e-21,0.06257486773967405,0.1,0.5013243708757325,16.280358280222814,0.09089487983303712,1.1166179387399806,SP500,4,2025-08-27,medium
0.16852145892655662,0.08615977961366114,0.4199932027570844,0.101636200806414,0.18902206184284007,0.13523891904402444,-11.747043421500631,1.2343860151047453e-21,0.05876331100773766,0.1,0.5170500973788682,16.60039433750019,0.09089487983303712,1.044279303693059,SP500,5,2025-09-11,medium
0.16797447990650796,0.07255759986321757,0.42792122776868957,0.10688477207980125,0.18902206184284007,0.13511243710944645,-11.771078633158218,1.0895841280930442e-21,0.0625972107145608,0.1,0.5200295708794331,16.841461294871486,0.09089487983303712,1.1720155066666345,SP500,6,2025-09-25,medium
0.16700370787518004,0.06329373429668401,0.4325178242481117,0.10684402084860464,0.18902206184284007,0.1355209377881562,-11.841730005850165,7.5616980536642545e-22,0.06990312596282096,0.1,0.5185086281315504,17.27306018057812,0.09089487983303712,1.2651905512335428,SP500,7,2025-10-09,medium
0.16850203185338017,0.1354265948071002,0.4341572671279243,0.09427678970436623,0.18902206184284007,0.13759964373481134,-11.772390686669693,1.0821956943857793e-21,0.0633882403976606,0.1,0.4834308896153629,16.706722222057426,0.09089487983303712,1.2381289052298834,SP500,8,2025-10-23,medium
0.16879537976656003,0.151907594301048,0.4389873966950394,0.10428116734823384,0.18902206184284007,0.13857245862166748,-11.752558440844167,1.1995183051823205e-21,0.06256367609507117,0.1,0.46292833775382214,16.561105869922653,0.09089487983303712,1.2460684053281823,SP500,9,2025-11-06,medium
